numStars,NumAuthors,NumBlobs,LatestCommitDate,projectID,EarlistCommitDate,rootFork,communitySize,NumCommits,NumFiles
405,390,25686,1599082672,1815368076_opus,1173455933,xiph_opus,573,14267,8141
2400,243,16340,1590182940,18_draft,1313506050,cplusplus_draft,574,12803,400
96,94,48901,1599891239,19-1-skku-oss_latex3,870875557,latex3_latex3,62,28312,10377
,102,86514,1583879006,190N_BansheeEngine,1346349613,,467,9377,21381
240,350,150404,1599687677,1995hnagamin_factor,1089959181,factor_factor,192,59639,35597
1546,690,68757,1600121414,1998SYQ_tokio,1469926392,tokio-rs_tokio,525,9659,36811
59,1054,12541,1597934901,19alexandr90_js-assignments,1456770897,rolling-scopes-school_js-assignments,1120,8490,821
98,158,55687,1599600290,1Maria_cfgov-refresh,1398122469,cfpb_cfgov-refresh,75,30006,18088
62,277,29973,1558361980,1ab23c_izpack,1025634281,jponge_izpack,270,7886,6063
3960,462,55414,1598929180,1ambda_scalaz,1228540966,scalaz_scalaz,777,13916,33124
,6701,56242,1599927267,1krisortiz1_sinatra-restful-routes-lab-v-000,1447699763,learn-co-students_sinatra-restful-routes-lab-v-000,2810,28171,23015
3,118,31342,1558476403,1powechri2_store_engine,1333369019,JumpstartLab_store_engine,143,8742,13615
3353,465,18747,1596085841,1sters_padrino-framework,1258504628,padrino_padrino-framework,694,8639,4323
457,784,71319,1598884055,2011uit1719_cordova-js,1246931795,apache_cordova-js,2128,13820,61794
39,110,8678,1599852471,2015mp_HDMI2USB-litex-firmware,1424558392,timvideos_HDMI2USB-litex-firmware,152,5017,2216
1656,1231,11806,1598887279,202works_django-haystack,1232293370,django-haystack_django-haystack,1875,7453,1376
39,147,59834,1599068424,20joseph10_PrairieLearn,1400679232,PrairieLearn_PrairieLearn,78,12660,137076
235,144,14301,1557496422,221287_objectiveflickr,1140499796,lukhnos_objectiveflickr,269,5576,2695
478,374,186605,1599175467,2600hz_kazoo,1280338704,,416,79173,36131
,295,24772,1594161282,280455936_ratpack,1279632814,,435,7771,7933
138,220,28191,1597849421,28lo09la_wallet-android,1371117161,mycelium-com_wallet-android,742,9243,8383
,703,17779,1596729022,2947721120_globalize,1217616566,,1310,5621,4312
686,350,63352,1600256432,2asoft_firmware,1348761061,spark_firmware,866,21081,33237
356,349,29944,1599482439,2kg-jp_sourcemod,1152652571,alliedmodders_sourcemod,240,19619,6852
,535,40738,1598897107,2thetop_Snap--Build-Your-Own-Blocks,947430103,jmoenig_Snap,685,21345,24639
779,107,32978,1600370963,2thetop_notepad2-mod,1288545008,XhmikosR_notepad2-mod,272,8714,4346
179,202,11144,1599036901,2tunnels_device-detector,1369382463,matomo-org_device-detector,260,6342,468
298,115,159260,1598725630,351539365_owlapi,1161596730,owlcs_owlapi,287,10769,57983
528,255,82520,1599235886,359887612_pacemaker,1060366787,ClusterLabs_pacemaker,287,28230,18812
1482,288,75416,1491072907,36z_OpenBazaar,1287699495,OpenBazaar_OpenBazaar,773,18006,71627
25,953,23393,1599258090,38_eog,937372769,GNOME_eog,92,10211,2822
6,116,57947,1596040582,3DSo_openeclass,1144921474,maellak_openeclass,85,23688,15576
1605,56,9875,1597131368,3GA_versionpress,1365595187,versionpress_versionpress,150,6527,2489
127,154,77544,1599158175,3d-simulation-engines_opensim-core,1115668349,opensim-org_opensim-core,139,29467,14147
1406,779,41961,1593441804,3etechinns_play,1211545367,playframework_play,894,11516,14842
378,589,148655,1599271346,3uweb_ec-cube,1156301808,EC-CUBE_ec-cube,571,57282,72399
144,289,21177,1599711360,42wim_image,1453051733,containers_image,319,6178,7613
450,237,14097,1599186750,465583030_toil,1287031730,BD2KGenomics_toil,188,8969,1071
681,225,62954,1598878160,4669842_soapui,1214554994,SmartBear_soapui,481,9411,30923
1894,83,60406,1598947688,540513310_fibjs,1330743769,xicilion_fibjs,351,6112,20324
,704,166845,1599209546,545zhou_osf.io,1297447678,,651,88052,33747
,69,6128,1598887610,5jt_help,1132934291,simongarland_help,85,48372,6178
320,127,14082,1599225331,5nord_asn1c,1086233924,vlm_asn1c,293,5126,2422
262,471,33838,1599462562,5v3n_karathy,1251348302,cloudhead_dorothy,454,12783,16892
18,243,31451,1598999844,62mkv_hibernate.org,1345062350,hibernate_hibernate.org,217,5738,4293
36,275,12873,1599586140,64octets_publisher,1309793943,alphagov_publisher,42,8173,1490
90,304,252146,1565883461,6669venus_dava.engine,1309294478,dava_dava.engine,103,160319,129777
2,808,160563,1598650052,695540301_android_tools_base,1355182312,AllianceAOSP_android_tools_base,122,143567,59622
4529,705,14151,1597241403,77Agency_twitter,1166146332,sferik_twitter,1478,5592,2013
199,1711,118562,1599195587,785172550_fullstack-nanodegree-vm,1365372460,udacity_fullstack-nanodegree-vm,11994,21992,110632
94,91,12244,1599621846,7hoenix_badgr-server,1414456704,concentricsky_badgr-server,69,6398,2293
63,104,60455,1598196326,7obywankenobi_fop,941393629,apache_fop,92,27952,68608
130,298,9902,1598077538,7ottel_flux,1326912908,FluidTYPO3_flux,310,5599,1196
105,272,4722,1597389827,8860730_zend-servicemanager,1240914229,zendframework_zend-servicemanager,108,11057,456
525,202,42853,1598895381,8bit-evolution_cc65,959521248,cc65_cc65,244,10868,23222
527,241,29294,1598868749,9geeks_pivotal-ui,1400266376,pivotal-cf_pivotal-ui,93,6382,19833
44,899,124372,1599791387,A1ve5_easybuild-easyconfigs,1331223680,easybuilders_easybuild-easyconfigs,727,95672,41125
,5849,24940,1599785811,AAM77_cookies_and_sessions_lab-v-000,1449640431,learn-co-students_cookies_and_sessions_lab-v-000,2407,13655,20295
,4962,11676,1599981335,AAM77_simple-partials-lab-v-000,1452563583,learn-co-students_simple-partials-lab-v-000,1708,10259,10747
95,134,53389,1600066642,ACPHQ4U_medic-webapp,1320276525,medic_medic-webapp,101,23744,14410
,74,11813,1598503960,ACal_company-website,1447367572,,39,5725,3504
388,1225,6264355,1598952251,AFADoomer_gzdoom,891907200,coelckers_gzdoom,5163,106664,199325
,86,37133,1581380051,AG7893_tiles,959812088,,123,7867,22818
,496,34707,1595811278,AICP_packages_apps_UnifiedEmail,1323364404,,260,35155,9641
,268,159308,1598283446,AICP_prebuilts_gcc_linux-x86_aarch64_aarch64-linux-android-4.9,1325711780,,992,46763,162311
75,181,171710,1599813270,AMATEURLIU_fds,1178054231,firemodels_fds,682,234892,68427
1221,405,20272,1598721952,AMDmi3_munin,1073056685,munin-monitoring_munin,442,15816,7509
15,80,34036,1597963912,ARUNBENNYPYNADATH_zetaglest-source,1264124758,ZetaGlest_zetaglest-source,113,11812,25222
1,1331,82140,1599811671,AYCS_gitlab-ci,1406764613,Mattlk13_gitlab-ci,1713,20627,48223
